축산일련번호,축산업무구분명,사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지면적,소재지우편번호,지번주소,관리번호,개방자치단체코드,권리주체일련번호,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
,가축인공수정소,안양축협가축인공수정소,2026-01-13,192570.558369109,433624.722051591,2026-01-14 21:33:10,I,0002,폐업,2026-01-13 15:41:26,,1983-05-09,101,,경기도 안양시 만안구 안양동 847-10 3층,383000000319830001,3830000,L00,"경기도 안양시 만안구 안양로 374-1, 3층 (안양동)",13990,,03,폐업,,,031-443-9999
,가축인공수정소,제일가축인공수정소,2026-01-29,,,2026-01-30 21:33:10,I,0002,폐업,2026-01-29 17:21:32,,1992-03-14,66,,경기도 용인시 처인구 백암면 백암리 415,405000000319920001,4050000,000,,,,03,폐업,,,
,가축인공수정소,보람가축인공수정소,2026-01-19,248248.107792044,438874.108317462,2026-01-20 21:33:10,I,0002,폐업,2026-01-19 16:51:43,,2016-08-22,73.6,,경기도 양평군 개군면 불곡리 41-3,417000000320160001,4170000,000,,,,03,폐업,,,
,가축인공수정소,삼형제수정,,220042.053096439,388887.199486245,2026-02-11 21:33:10,I,0000,정상,2026-02-10 14:33:59,,2026-02-10,3.3,,경기도 안성시 대덕면 내리 687-6,408000000320260001,4080000,000,"경기도 안성시 대덕면 대학10길 12, 3층 411호",17546,,01,영업/정상,,,
,가축인공수정소,마송가축인공수정소,,165285.595233362,466317.830280096,2026-01-13 14:27:14,I,0000,정상,2021-09-17 17:34:23,,2003-02-12,0,,경기도 김포시 통진읍 서암리 517-1,409000000320030004,4090000,000,경기도 김포시 통진읍 대서명로 11-1,10016,,01,영업/정상,,,
,가축인공수정소,중앙가축인공수정소,,160819.463159949,469429.407920974,2026-01-13 14:27:14,I,0000,정상,2005-02-26 00:38:37,,2005-02-26,12,,경기도 김포시 월곶면 고막리 337-4,409000000320050001,4090000,000,,,,01,영업/정상,,,
,가축인공수정소,4시즌A.I,,166451.481970558,467766.82783237,2026-01-13 14:27:14,I,0000,정상,2021-10-13 14:01:44,,2020-12-24,0,,경기도 김포시 하성면 원산리 636-4,409000000320200001,4090000,000,"경기도 김포시 하성면 원산로 1, 나동동 102호",10011,,01,영업/정상,,,
,가축인공수정소,덕산수정소,,,,2026-01-13 14:27:14,I,0000,정상,2021-04-16 09:48:11,,2021-04-16,98,,경기도 김포시 장기동 1655 초당마을우미린아파트,409000000320210001,4090000,000,"경기도 김포시 김포한강1로 10, 207동 405호 (장기동, 초당마을우미린아파트)",10087,,01,영업/정상,,,
,가축인공수정소,mk수정소,,,,2026-02-26 21:03:11,U,0000,정상,2026-02-25 11:02:53,,2022-04-13,0,,경기도 김포시 통진읍 가현리 683,409000000320220001,4090000,000,경기도 김포시 통진읍 가현로85번길 24,10030,,01,영업/정상,,,
,가축인공수정소,전곡가축인공수정소,,,,2025-12-15 16:15:28,I,0000,정상,2013-12-26 09:31:14,,1986-02-01,0,,경기도 연천군 전곡읍 전곡리,414000000319860001,4140000,000,경기도 연천군 전곡읍 전은길 34-7,11025,,01,영업/정상,,,
,가축인공수정소,신서가축인공수정소,,209379.981832709,520428.59919757,2025-12-15 16:15:28,I,0000,정상,2023-11-08 10:38:45,,1997-11-20,0,,경기도 연천군 신서면 도신리 273-12,414000000319970001,4140000,000,경기도 연천군 신서면 도대로3번길 1,,,01,영업/정상,,,
,가축인공수정소,중앙가축인공수정소,,206155.029547297,502196.860964246,2025-12-15 16:15:28,I,0000,정상,2003-12-23 16:48:33,,1998-10-13,0,,경기도 연천군 전곡읍 전곡리 315-32,414000000319980001,4140000,000,경기도 연천군 전곡읍 전곡로 110,,,01,영업/정상,,,
,가축인공수정소,가곡인공수정소,,192209.99585148,505316.442013306,2025-12-15 16:15:28,I,0000,정상,2023-11-08 10:39:47,,2014-07-22,40,,경기도 연천군 백학면 두일리 189-2,414000000320140001,4140000,000,경기도 연천군 백학면 백두2길 113-55,11048,,01,영업/정상,,,
,가축인공수정소,직천인공수정소,,205701.232290885,509185.141040582,2025-12-15 16:15:28,I,0000,정상,2023-11-08 10:42:07,,2014-07-22,50,,경기도 연천군 연천읍 차탄리 507-1,414000000320140002,4140000,000,경기도 연천군 연천읍 현문로245번길 107-36,11018,,01,영업/정상,,,
,가축인공수정소,전동AI센터,,189762.214022858,500907.631474976,2025-12-15 16:15:28,I,0000,정상,2020-07-17 09:30:08,,2020-07-17,0,,경기도 연천군 백학면 전동리 548-1,414000000320200001,4140000,000,경기도 연천군 백학면 장백로631번길 59-93,11048,,01,영업/정상,,,
,가축인공수정소,갯보루수정소,,,,2025-12-15 16:15:28,I,0000,정상,2024-05-21 16:05:08,,2024-05-21,0,,경기도 연천군 백학면 석장리 530 갯벌우목장,414000000320240001,4140000,000,"경기도 연천군 백학면 백왕로225번길 51-34, 갯벌우목장",11048,,01,영업/정상,,,
,가축인공수정소,다온 인공수정소,,,,2025-12-15 16:15:28,I,0000,정상,2025-10-28 09:39:25,,2025-10-28,0,,경기도 연천군 전곡읍 늘목리 47,414000000320250001,4140000,000,경기도 연천군 전곡읍 양연로527번길 72,11041,,01,영업/정상,,,
,가축인공수정소,힘찬수정소,,,,2025-12-15 16:15:28,I,0000,정상,2025-11-03 13:01:13,,2025-11-03,0,,경기도 연천군 백학면 노곡리 57,414000000320250002,4140000,000,경기도 연천군 백학면 노곡로206번길 95,11049,,01,영업/정상,,,
,가축인공수정소,현리가축인공수정소,,230497.838858492,479816.883177393,2025-12-15 16:15:28,I,0000,정상,2020-11-02 09:36:43,,1981-05-13,33,,경기도 가평군 조종면 현리 291-21 가평낙우회,416000000319810001,4160000,000,"경기도 가평군 조종면 현창로62번길 3, 가평낙우회",12437,,01,영업/정상,,,
,가축인공수정소,음매가축인공수정소,,250525.244531854,493569.601309201,2025-12-15 16:15:28,I,0000,정상,2012-04-20 10:47:47,,2012-04-20,6.6,,경기도 가평군 북면 화악리 109-1,416000000320120001,4160000,000,경기도 가평군 북면 화악지암길 224,12402,,01,영업/정상,,,
,가축인공수정소,코뚜레인공수정소,,245036.052330507,472672.89014946,2025-12-15 16:15:28,I,0000,정상,2019-04-22 11:47:30,,2019-04-20,30,,경기도 가평군 가평읍 산유리 199-2,416000000320190001,4160000,000,경기도 가평군 가평읍 호반로 1811,12429,,01,영업/정상,,,
,가축인공수정소,수흥가축인공수정소,,243732.373316116,477908.243251269,2025-12-15 16:15:28,I,0000,정상,2020-12-21 16:39:25,,2020-12-21,0,,경기도 가평군 가평읍 하색리 161-2,416000000320200001,4160000,000,경기도 가평군 가평읍 달전천벚꽃길 241-217,12424,,01,영업/정상,,,
,가축인공수정소,우전수정사업소,,242667.65866222,482438.468130741,2025-12-15 16:15:28,I,0000,정상,2024-04-08 17:00:31,,2024-04-08,0,,경기도 가평군 가평읍 승안리 250-2,416000000320240001,4160000,000,경기도 가평군 가평읍 용추로171번길 34-15,12408,,01,영업/정상,,,
,가축인공수정소,양평가축인공수정소,,244675.775515473,443740.012417427,2025-12-15 16:15:28,I,0000,정상,2008-05-15 09:27:36,,1983-07-27,0,,경기도 양평군 양평읍 공흥리 315-20 한강그린빌라 나동 301호,417000000319830002,4170000,000,,,,01,영업/정상,,,
,가축인공수정소,제일가축인공수정소,,,,2025-12-15 16:15:28,I,0000,정상,2006-01-10 11:52:26,,1984-10-11,0,,경기도 양평군 양평읍 양근리 금광아파트 A동 302호,417000000319840005,4170000,000,,,,01,영업/정상,,,
,가축인공수정소,강하가축인공수정소,,,,2025-12-15 16:15:28,I,0000,정상,2006-01-10 11:51:03,,1986-03-13,0,,경기도 양평군 양평읍 양근리 그린아파트 101동 804호,417000000319860001,4170000,000,,,,01,영업/정상,,,
,가축인공수정소,지평가축인공수정소,,,,2025-12-15 16:15:28,I,0000,정상,2016-06-27 10:28:38,,1988-01-11,0,,경기도 양평군 지평면 지평리,417000000319880001,4170000,000,경기도 양평군 지평면 금의길 20,12543,,01,영업/정상,,,
,가축인공수정소,청운가축인공수정소,,,,2025-12-15 16:15:28,I,0000,정상,2003-01-27 16:18:48,,1988-01-18,0,,경기도 양평군 양평읍 공흥리 521-1,417000000319880002,4170000,000,,,,01,영업/정상,,,
,가축인공수정소,천일가축인공수정소,,243990.450175542,443878.562094307,2025-12-15 16:15:28,I,0000,정상,2006-02-13 11:10:31,,2006-02-10,0,,경기도 양평군 양평읍 공흥리 753-1,417000000319890001,4170000,000,,,,01,영업/정상,,,
,가축인공수정소,양동가축인공수정소,,,,2025-12-15 16:15:28,I,0000,정상,2025-02-03 13:18:39,,1989-02-08,4,,경기도 양평군 양동면 계정리 1503,417000000319890002,4170000,000,경기도 양평군 양동면 양서북로 176,12535,,01,영업/정상,,,
,가축인공수정소,팔팔가축인공수정소,,,,2025-12-15 16:15:28,I,0000,정상,2003-01-27 16:23:47,,1992-11-14,0,,경기도 양평군 양동면 단석리 1082,417000000319920001,4170000,000,,,,01,영업/정상,,,
,가축인공수정소,우람가축인공수정소,,,,2025-12-15 16:15:28,I,0000,정상,2006-01-09 12:25:27,,2001-07-02,0,,경기도 양평군 양평읍 공흥리 484-4,417000000320010001,4170000,000,,,,01,영업/정상,,,
,가축인공수정소,당너머가축인공수정소,,,,2025-12-15 16:15:28,I,0000,정상,2003-01-27 16:29:06,,2001-07-02,0,,경기도 양평군 양평읍 오빈리 239-1,417000000320010002,4170000,000,,,,01,영업/정상,,,
,가축인공수정소,청한가축인공수정소,,,,2025-12-15 16:15:28,I,0000,정상,2008-04-25 13:27:14,,2008-04-23,33,,경기도 양평군 지평면 월산리 364,417000000320080001,4170000,000,,,,01,영업/정상,,,
,가축인공수정소,옥천가축인공수정소,,241516.974082022,446272.542788499,2025-12-15 16:15:28,I,0000,정상,2009-10-05 17:13:34,,2009-10-05,0,,경기도 양평군 옥천면 옥천리 294-3,417000000320090001,4170000,000,,,,01,영업/정상,,,
,가축인공수정소,삼심가축인공수정소,,,,2025-12-15 16:15:28,I,0000,정상,2011-11-08 09:32:35,,2011-11-08,10,,경기도 양평군 지평면 수곡리 307,417000000320110002,4170000,000,,,,01,영업/정상,,,
,가축인공수정소,다산인공수정소,,,,2025-12-15 16:15:28,I,0000,정상,2012-06-28 13:22:24,,2012-06-28,15.81,,경기도 양평군 단월면 향소리 912,417000000320120001,4170000,000,,,,01,영업/정상,,,
,가축인공수정소,개군가축인공수정소,,,,2025-12-15 16:15:28,I,0000,정상,2012-08-22 18:22:13,,2012-08-22,7.02,,경기도 양평군 개군면 계전리 319,417000000320120002,4170000,000,,,,01,영업/정상,,,
,가축인공수정소,백두가축인공수정소,,,,2025-12-15 16:15:28,I,0000,정상,2017-01-12 13:55:31,,2017-01-12,12,,,417000000320170001,4170000,000,경기도 양평군 개군면 뒷굴길 46-1,12567,,01,영업/정상,,,
,가축인공수정소,한라가축인공수정소,,,,2025-12-15 16:15:28,I,0000,정상,2017-01-19 15:23:32,,2017-01-19,0,,,417000000320170002,4170000,000,경기도 양평군 개군면 마루터길37번길 7,12570,,01,영업/정상,,,
,가축인공수정소,미래가축인공수정소,,,,2025-12-15 16:15:28,I,0000,정상,2022-10-04 11:23:53,,2018-11-05,40,,경기도 양평군 양평읍 양근리 738,417000000320180001,4170000,000,"경기도 양평군 양평읍 역전길 55, 102동 9층 901호",12553,,01,영업/정상,,,
,가축인공수정소,서울우유 가축인공수정소,,255691.726776297,453537.395928867,2026-02-13 21:33:10,I,0000,정상,2026-02-12 16:57:53,,2019-01-25,378,,경기도 양평군 단월면 향소리 1017-1,417000000320190001,4170000,000,경기도 양평군 단월면 석산로 435-65,12528,,01,영업/정상,,,031-771-4926
,가축인공수정소,한빛가축인공수정소,,,,2026-01-23 21:33:10,I,0000,정상,2026-01-22 14:15:33,,2021-01-24,5,,경기도 양평군 개군면 석장리 723,417000000320210001,4170000,000,,,,01,영업/정상,,,
,가축인공수정소,돌담가축인공수정소,,245811.401108938,439058.520644098,2025-12-15 16:15:28,I,0000,정상,2022-04-15 18:02:40,,2022-04-15,0,,경기도 양평군 개군면 석장리 306-1,417000000320220001,4170000,000,경기도 양평군 개군면 뒷굴길 70,12567,,01,영업/정상,,,
,가축인공수정소,대산가축인공수정소,,266845.4799274,434756.942158078,2025-12-15 16:15:28,I,0000,정상,2022-10-12 14:58:29,,2022-10-12,0,,경기도 양평군 양동면 쌍학리 868-4,417000000320220002,4170000,000,,,,01,영업/정상,,,
,가축인공수정소,MH ET CENTER,,,,2025-12-15 16:15:28,I,0000,정상,2022-10-12 15:46:19,,2022-10-12,0,,경기도 양평군 개군면 석장리 269,417000000320220003,4170000,000,경기도 양평군 개군면 뒷굴길 51-35,12567,,01,영업/정상,,,
,가축인공수정소,지우가축인공수정소,,,,2025-12-15 16:15:28,I,0000,정상,2025-11-19 14:45:15,,2022-12-20,1,,경기도 양평군 양평읍 양근리 664 양평역센트럴시티,417000000320220004,4170000,000,"경기도 양평군 양평읍 시민로24번길 33, 101동 902호 (양평역센트럴시티)",12561,,01,영업/정상,,,
,가축인공수정소,팜스플랜동물병원 가축인공수정소,,243726.873794096,443857.561244083,2025-12-15 16:15:28,I,0000,정상,2023-04-26 16:52:08,,2023-04-26,3.4,,경기도 양평군 양평읍 공흥리 730-7,417000000320230001,4170000,000,경기도 양평군 양평읍 중앙로 53,12551,,01,영업/정상,,,
,가축인공수정소,웅스팜,,246432.122215317,440578.50803479,2025-12-15 16:15:28,I,0000,정상,2024-02-26 09:17:56,,2024-02-26,6,,경기도 양평군 양평읍 회현리 10-36,417000000320240001,4170000,000,경기도 양평군 양평읍 충신로 18,12563,,01,영업/정상,,,
,가축인공수정소,경기수정란이식센터,,251271.090975426,435282.53651168,2025-12-15 16:15:28,I,0000,정상,2025-10-21 11:16:09,,2024-03-05,4,,경기도 양평군 개군면 계전리 169-3,417000000320240002,4170000,000,경기도 양평군 개군면 해랭이골길 179-6,12570,,01,영업/정상,,,
,가축인공수정소,개군한우농장 수정소,,,,2025-12-15 16:15:28,I,0000,정상,2024-03-22 16:28:06,,2024-03-22,2.7,,경기도 양평군 개군면 부리 413,417000000320240003,4170000,000,경기도 양평군 개군면 원두물길 72,12569,,01,영업/정상,,,
,가축인공수정소,한독동물병원,,265535.693299175,487288.037686488,2025-12-15 16:15:28,I,0000,정상,2013-12-17 15:23:33,,1979-02-03,0,,강원특별자치도 춘천시 후평동 713-8,418000000319790001,4181000,000,강원특별자치도 춘천시 후석로 401 (후평동),24251,,01,영업/정상,,,033-242-2925
