자동환기여부,건물용도명,사업장명,폐업일자,좌표X,좌표Y,문화사업자구분명,문화체육업종명,편의시설여부,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,비상구여부,비상계단여부,기존게임업외업종명,제작취급품목내용,시설면적,소방시설여부,지상층수,청소년실수,청소년실여부,노래방실수,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,조명시설유무,조명시설조도,관리번호,개방자치단체코드,통로너비,제공게임물명,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,방음시설여부,음향시설여부,특수조명여부,주변환경명,휴업시작일자,휴업종료일자,소재지전화번호,총게임기수,총층수,지하층수,비디오재생기명
,,명화,2002-08-16,199652.817727188,453552.062000606,유통관련업,비디오물감상실업,,2026-05-01 22:38:02,I,03,폐업,,,,,0,,0,,,,2003-02-07 09:11:35,,1996-08-10,110-812,서울특별시 종로구 명륜3가 82-3,,,CDFF1242011996000001,3000000,,,,서울특별시 종로구 성균관로5길 9  (명륜3가),,03,폐업,,,,,,,36759036,,0,0,
,,동대문,2004-06-24,200986.447020802,452215.701716963,유통관련업,비디오물감상실업,,2026-05-01 22:38:02,I,03,폐업,,,,,,,,,,,2004-06-24 16:04:13,,1996-08-31,110-854,서울특별시 종로구 창신동 537-1,,,CDFF1242011996000002,3000000,,,,서울특별시 종로구 종로 309  (창신동),,03,폐업,,,,,,,,,,,자동
,,Win,2016-09-30,199894.827508196,453399.860339999,유통관련업,비디오물감상실업,,2026-05-01 22:38:02,I,03,폐업,,,,,,,,,,,2016-10-06 15:50:21,,1996-08-31,,서울특별시 종로구 명륜4가 59-3,,,CDFF1242011996000003,3000000,,,,서울특별시 종로구 대명길 37  (명륜4가),,03,폐업,,,,,,,,,,,자동
,,환상특급비디오방,2000-06-14,199826.205827729,452259.300048914,유통관련업,비디오물감상실업,,2026-05-01 22:38:02,I,03,폐업,,,,,0,,0,,,,2003-02-07 09:11:35,,1996-08-31,110-410,서울특별시 종로구 인의동 28-26,,,CDFF1242011996000004,3000000,,,,,,03,폐업,,,,기타,,,22929986,,0,0,
,,DVD키네마,2004-06-04,201949.65163583,452677.676438417,유통관련업,비디오물감상실업,,2026-05-01 22:38:02,I,03,폐업,,,,,,,,,,,2004-06-04 09:56:00,,1996-09-02,110-827,서울특별시 종로구 숭인동 1148-0,,,CDFF1242011996000005,3000000,,,,서울특별시 종로구 보문로3길 2  (숭인동),,03,폐업,,,,,,,,,,,자동
,,스크린로드,2007-10-24,199955.953276896,453503.718907987,유통관련업,비디오물감상실업,,2026-05-01 22:38:02,I,03,폐업,,,,,,,,,,,2007-10-25 09:14:37,,1996-09-02,110-522,서울특별시 종로구 명륜2가 21-17,,,CDFF1242011996000006,3000000,,,,서울특별시 종로구 창경궁로 258-10  (명륜2가),,03,폐업,,,,,,,,,,,자동
,,LA비디오방,1999-10-29,200315.525649322,453201.94681626,유통관련업,비디오물감상실업,,2026-05-01 22:38:02,I,03,폐업,,,,,0,,0,,,,2003-02-07 09:11:35,,1996-09-02,110-809,서울특별시 종로구 동숭동 128-16,,,CDFF1242011996000008,3000000,,,,서울특별시 종로구 동숭길 64  (동숭동),,03,폐업,,,,,,,,,0,0,
,,무비(DVD)랜드,2011-08-30,199872.928164861,453390.08065254,유통관련업,비디오물감상실업,,2026-05-01 22:38:02,I,03,폐업,,,,,201.6,,,,,,2011-08-30 16:49:44,,1996-09-02,110-524,서울특별시 종로구 명륜4가 176-2,,,CDFF1242011996000009,3000000,,,,서울특별시 종로구 대명길 41  (명륜4가),,03,폐업,,,,,,,,,,,자동
,,쉼터비디오방,2004-05-31,200259.754525539,452113.150872578,유통관련업,비디오물감상실업,,2026-05-01 22:38:02,I,03,폐업,,,,,,,,,,,2004-05-31 09:09:41,,1996-09-02,110-835,서울특별시 종로구 종로5가 42-1 건물4층,,,CDFF1242011996000010,3000000,,,,,,03,폐업,,,,,,,,,,,자동
,,라이온킹,2006-02-23,200144.174906296,453406.478168565,유통관련업,비디오물감상실업,,2026-05-01 22:38:02,I,03,폐업,,,,,,,,,,,2006-02-23 14:37:05,,1996-09-02,110-809,서울특별시 종로구 동숭동 1-47,,,CDFF1242011996000011,3000000,,,,서울특별시 종로구 대학로8가길 48  (동숭동),,03,폐업,,,,,,,,,,,자동
,,이미지,2000-08-11,199547.888288286,454013.33417032,유통관련업,비디오물감상실업,,2026-05-01 22:38:02,I,03,폐업,,,,,0,,0,,,,2003-02-07 09:11:35,,1996-09-04,110-521,서울특별시 종로구 명륜1가 10-22,,,CDFF1242011996000012,3000000,,,,서울특별시 종로구 명륜길 22  (명륜1가),,03,폐업,,,,,,,,,0,0,
,,성균,2001-11-13,199723.347794924,453565.897387933,유통관련업,비디오물감상실업,,2026-05-01 22:38:02,I,03,폐업,,,,,0,,,,,,2003-02-07 09:11:35,,1996-09-04,110-522,서울특별시 종로구 명륜2가 143-9,,,CDFF1242011996000013,3000000,,,,서울특별시 종로구 성균관로 18  (명륜2가),,03,폐업,,,,,,,,,,,
,,vip,2020-10-15,199984.706065202,453441.79158575,유통관련업,비디오물감상실업,,2026-05-01 22:38:02,I,03,폐업,,,,,0,,,,,,2020-10-15 17:52:12,,1996-09-06,110-524,서울특별시 종로구 명륜4가 12-3,,,CDFF1242011996000014,3000000,,,,서울특별시 종로구 대명길 17  (명륜4가),,03,폐업,,,,,,,,,,,
,,신세대,2010-12-13,201588.786483466,452375.011823091,유통관련업,비디오물감상실업,,2026-05-01 22:38:02,I,03,폐업,,,,,0,,,,,,2010-12-13 18:24:25,,1996-09-06,110-826,서울특별시 종로구 숭인동 218,,,CDFF1242011996000015,3000000,,,,서울특별시 종로구 종로 372  (숭인동),,03,폐업,,,,,,,22543050,,,,
,,POPS DVD,2014-01-21,200241.539609902,453188.69990349,유통관련업,비디오물감상실업,,2026-05-01 22:38:02,I,03,폐업,,,,,0,,5,,,,2014-01-22 17:49:18,,1996-09-06,,서울특별시 종로구 동숭동 1-100 3층,,,CDFF1242011996000016,3000000,,,,"서울특별시 종로구 대학로8가길 111  (동숭동,3층)",,03,폐업,,,,,,,36727187,,6,1,
,,채플린,2000-05-02,201035.357569809,452256.067308891,유통관련업,비디오물감상실업,,2026-05-01 22:38:02,I,03,폐업,,,,,0,,0,,,,2003-02-07 09:11:35,,1996-09-07,110-840,서울특별시 종로구 창신동 148-1,,,CDFF1242011996000018,3000000,,,,서울특별시 종로구 종로51가길 2-1  (창신동),,03,폐업,,,,,,,,,0,0,
,,쥴리앙스비디오방,2005-11-25,198724.055166344,451910.359049434,유통관련업,비디오물감상실업,,2026-05-01 22:38:02,I,03,폐업,,,,,,,,,,,2005-11-25 17:14:56,,1996-09-07,110-111,서울특별시 종로구 관철동 13-10,,,CDFF1242011996000020,3000000,,,,서울특별시 종로구 삼일대로19길 19  (관철동),,03,폐업,,,,,,,,,,,자동
,,씨네피아,2009-11-06,198694.787531536,451930.899506677,유통관련업,비디오물감상실업,,2026-05-01 22:38:02,I,03,폐업,,,,,0,,0,,,,2009-11-06 16:05:07,,1996-09-07,,서울특별시 종로구 관철동 14-9,,,CDFF1242011996000021,3000000,,,,서울특별시 종로구 삼일대로19길 28  (관철동),,03,폐업,,,,,,,,,0,0,
,,채널4,1999-09-22,199982.393297766,453511.50028744,유통관련업,비디오물감상실업,,2026-05-01 22:38:02,I,03,폐업,,,,,0,,0,,,,2003-02-07 09:11:35,,1996-09-07,110-522,서울특별시 종로구 명륜2가 21-10,,,CDFF1242011996000022,3000000,,,,서울특별시 종로구 창경궁로 258-9  (명륜2가),,03,폐업,,,,,,,,,0,0,
,,월드,2001-10-29,199750.061146926,453449.975802184,유통관련업,비디오물감상실업,,2026-05-01 22:38:02,I,03,폐업,,,,,0,,,,,,2003-02-07 09:11:35,,1996-09-07,110-812,서울특별시 종로구 명륜3가 146,,,CDFF1242011996000023,3000000,,,,서울특별시 종로구 성균관로1길 8  (명륜3가),,03,폐업,,,,,,,,,,,
,,씨티비디오방,2006-03-08,197759.896536549,451961.958166359,유통관련업,비디오물감상실업,,2026-05-01 22:38:02,I,03,폐업,,,,,,,,,,,2006-03-08 15:36:22,,1996-09-09,110-061,서울특별시 종로구 신문로1가 135-2,,,CDFF1242011996000024,3000000,,,,서울특별시 종로구 새문안로 96  (신문로1가),,03,폐업,,,,,,,,,,,자동
,,그랜드비디오방,2002-04-01,198749.18491262,451866.558647435,유통관련업,비디오물감상실업,,2026-05-01 22:38:02,I,03,폐업,,,,,0,,0,,,,2003-02-07 09:11:35,,1996-09-09,110-111,서울특별시 종로구 관철동 12-24,,,CDFF1242011996000025,3000000,,,,서울특별시 종로구 삼일대로17길 15  (관철동),,03,폐업,,,,,,,,,0,0,
,,88비디오방,2000-05-25,201834.95408039,452450.347246254,유통관련업,비디오물감상실업,,2026-05-01 22:38:02,I,03,폐업,,,,,0,,0,,,,2003-02-07 09:11:35,,1996-09-09,110-825,서울특별시 종로구 숭인동 200-8,,,CDFF1242011996000026,3000000,,,,서울특별시 종로구 종로66길 10  (숭인동),,03,폐업,,,,,,,,,0,0,
,,씨네마천국,2003-12-09,199692.728134323,453562.926014659,유통관련업,비디오물감상실업,,2026-05-01 22:38:02,I,03,폐업,,,,,,,,,,,2003-12-09 15:51:57,,1996-09-09,110-522,서울특별시 종로구 명륜2가 142-1,,,CDFF1242011996000027,3000000,,,,서울특별시 종로구 성균관로 19  (명륜2가),,03,폐업,,,,,,,,,,,자동
,,하트프라자,2005-06-15,198644.372544207,451889.42861282,유통관련업,비디오물감상실업,,2026-05-01 22:38:03,I,03,폐업,,,,,,,,,,,2005-06-15 15:52:59,,1996-09-09,110-111,서울특별시 종로구 관철동 19-6,,,CDFF1242011996000028,3000000,,,,서울특별시 종로구 삼일대로17길 36  (관철동),,03,폐업,,,,,,,,,,,자동
,,스카렛비디오방,1998-09-22,199041.009248479,452032.239570663,유통관련업,비디오물감상실업,,2026-05-01 22:38:03,I,03,폐업,,,,,0,,0,,,,2003-02-07 09:11:35,,1996-09-09,110-123,서울특별시 종로구 종로3가 6-0,,,CDFF1242011996000029,3000000,,,,서울특별시 종로구 종로 111-1  (종로3가),,03,폐업,,,,,,,,,0,0,
,,끼리끼리비디오감상실,2001-03-19,199858.938218178,453350.951900816,유통관련업,비디오물감상실업,,2026-05-01 22:38:03,I,03,폐업,,,,,0,,,,,,2003-02-07 09:11:35,,1996-09-09,110-524,서울특별시 종로구 명륜4가 170-3 14통5반,,,CDFF1242011996000030,3000000,,,,서울특별시 종로구 대학로11길 43  (명륜4가),,03,폐업,,,,,,,,,,,
,,로켓트,2007-12-28,200887.226065933,452178.619503768,유통관련업,비디오물감상실업,,2026-05-01 22:38:03,I,03,폐업,,,,,,,,,,,2007-12-28 15:45:29,,1996-09-12,110-854,서울특별시 종로구 창신동 559-1,,,CDFF1242011996000032,3000000,,,,서울특별시 종로구 종로 297-1  (창신동),,03,폐업,,,,,,,,,,,자동
